,Date,Open,High,Low,Close,Volume,U001,FTG01P,FTG02P,FRG01P,close_ma5_ratio,close_ma10_ratio,close_ma20_ratio,close_ma60_ratio,close_ma120_ratio,volume_ma5_ratio,volume_ma10_ratio,volume_ma20_ratio,volume_ma60_ratio,volume_ma120_ratio,close_ema5_ratio,close_ema10_ratio,close_ema20_ratio,close_ema60_ratio,close_ema120_ratio,close_lastclose_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,volume_lastvolume_ratio,open_close_ratio,RSI,MACD,MACD_Signal,MACD_Hist,Bollinger_High,Bollinger_Low,ATR,MFI,Stoch_Osc,Stoch_Signal,ROC,Williams_%R,CCI,OBV,Hist_Volatility,ADI,CMF,Keltner_High,Keltner_Low,Vortex_Pos,Vortex_Neg,Parabolic_SAR,ADX,DMP,DMN,EoM,Chaikin_Oscillator,Stoch_RSIk,Stoch_RSId,TSI,TSIs,BoP
0,2018-01-10,50500,50520,48640,48840,18566800,2499.75,1220.37,1246.75,1087.75,,,,,,,,,,,,,,,,0.0,0.0,0.0343980343980344,-0.004095004095004095,0.0,0.033988533988533985,,,,,,,,,,,,,,18566800.0,,-14616417.021276595,,,,,,,,,,,,,,,,-0.8829787234042553
1,2018-01-11,48200,49260,48020,48240,25123800,2487.91,1221.39,1251.11,1087.54,,,,,,,,,,,,,,,,-0.012285012285012284,-0.013104013104013105,0.021144278606965175,-0.004560530679933665,0.35315724842191437,-0.0008291873963515755,,,,,,,,,,,,,,-6557000.0,,-30825320.247083046,,,,,,48020.0,,,,,,,,,,0.03225806451612903
2,2018-01-12,48240,48480,46760,48200,27270450,2496.42,1220.83,1248.51,1078.82,,,,,,,,,,,,,,,,-0.0008291873963515755,0.0,0.005809128630705394,-0.02987551867219917,0.08544288682444534,0.0008298755186721991,,,,,,,,,,,,,,-33827450.0,,-12433621.409873743,,,,,,49260.0,,,,,,,,,,-0.023255813953488372
3,2018-01-15,48800,48980,47920,48540,10096000,2503.73,1218.45,1243.64,1078.61,,,,,,,,,,,,,,,,0.007053941908713693,0.012448132780082987,0.009064688916357644,-0.01277297074577668,-0.6297824201654172,0.005356407086938607,,,,,,,,,,,,,,-23731450.0,,-10719206.31553412,,,,,,49260.0,,,,,,,,,,-0.24528301886792453
4,2018-01-16,48760,50140,48620,50000,20389650,2521.74,1219.13,1246.96,1078.11,0.025346567139693216,,,,,0.00494397550634964,,,,,0.025346567139693216,,,,,0.030078285949732178,0.004532344458178822,0.0028,-0.0276,1.0195770602218701,-0.0248,,,,,,,,,,,,,,-3341800.0,,5914455.526571143,,,,,,46760.0,,,,,,,,,,0.8157894736842105
5,2018-01-17,50020,50020,49060,49620,11053050,2515.43,1219.58,1247.37,1085.42,0.014309076042518397,,,,,-0.41165214123478505,,,,,0.011634544812025938,,,,,-0.0076,0.0004,0.008061265618702136,-0.01128577186618299,-0.45790879196062706,0.008061265618702136,,,,,,,,,,,,,,-14394850.0,,7756630.526571143,,,,,,46827.6,,,,,,,,,,-0.4166666666666667
6,2018-01-18,50020,50640,49820,49900,14848850,2515.81,1221.28,1249.65,1087.04,0.013156826118736295,,,,,-0.11252659638050157,,,,,0.011495599059450953,,,,,0.005642885933091495,0.008061265618702136,0.014829659318637275,-0.0016032064128256513,0.34341652304115156,0.002404809619238477,,,,,,,,,,,,,,454000.0,,-4194882.888063002,,,,,,46893.848,,,,,,,,,,-0.14634146341463414
7,2018-01-19,50380,50380,49040,49320,9219950,2520.26,1221.05,1247.06,1081.66,-0.0031530439000727628,,,,,-0.29734024311244905,,,,,-0.0001741909132410322,,,,,-0.011623246492985972,0.009619238476953907,0.021492295214922953,-0.0056772100567721,-0.3790798614034083,0.021492295214922953,,,,,,,,,,,,,,-8765950.0,,-9561719.455227181,,,,,,47043.69408,,,,,,,,,,-0.7910447761194029
8,2018-01-22,48640,48680,47960,48240,12520900,2502.11,1220.15,1246.44,1086.43,-0.023797960174842158,,,,,-0.07978404407311811,,,,,-0.014821149788816898,,,,,-0.021897810218978103,-0.013787510137875101,0.00912106135986733,-0.005804311774461028,0.35802254892922414,0.008291873963515755,,,,,,,,,,,,,,-21286850.0,,-12344141.677449403,,,,,,47187.5463168,,,,,,,,,,-0.5555555555555556
9,2018-01-23,48660,49160,48300,49160,13532700,2536.6,1220.71,1247.27,1086.94,-0.0017868745938921377,0.00314247235032445,,,,0.10605643276837359,-0.16784398681237458,,,,0.0026415076603049327,0.00314247235032445,,,,0.019071310116086235,0.008706467661691543,0.0,-0.017493897477624084,0.08080888754003307,-0.01017087062652563,,,,,,,,,,,,,,-7754150.0,,1188558.3225505967,,,,,,47325.644464127996,,,,,4134762.2857137118,,,,,0.5813953488372093
